PopSize: 300, Gens: 0
341, 135.004
342, 134.896
343, 135.006
344, 135.156
345, 134.905
346, 135.198
347, 135.309
348, 135.208
349, 135.274
350, 134.91
351, 135.032
352, 135.149
353, 135.136
354, 135.27
355, 134.96
356, 135.121
357, 135.276
358, 135.42
359, 135.476
360, 135.341
361, 135.2
362, 135.482
363, 134.95
364, 135.555
365, 135.541
366, 135.558
367, 135.438
368, 135.393
369, 135.686
370, 135.561
371, 135.606
372, 135.499
373, 135.532
374, 135.7
375, 135.718
376, 135.512
377, 135.693
378, 135.476
379, 135.653
380, 135.726
381, 135.324
382, 135.524
383, 135.355
384, 135.557
385, 136.074
386, 135.446
387, 135.649
388, 135.981
389, 135.686
390, 135.988
391, 135.957
392, 135.744
393, 135.807
394, 136.032
395, 136.087
396, 136.267
397, 136.166
398, 136.097
399, 135.819
400, 136.141
401, 136.228
402, 136.245
403, 136.156
404, 136.195
405, 136
406, 135.848
407, 136.249
408, 135.646
409, 136.042
410, 135.794
411, 135.991
412, 135.901
413, 136.016
414, 136.217
415, 136.261
416, 136.376
417, 135.925
418, 136.359
419, 136.367
420, 136.471
421, 135.799
422, 136.505
423, 136.353
424, 136.747
425, 136.526
426, 136.619
427, 136.371
428, 136.765
429, 136.315
430, 136.389
431, 136.503
432, 136.53
433, 136.263
434, 136.411
435, 136.412
436, 136.823
437, 136.397
438, 136.544
439, 136.113
440, 136.649
441, 136.599
442, 136.617
443, 136.451
444, 136.334
445, 136.401
446, 136.614
447, 136.318
448, 136.333
449, 136.134
450, 136.667
451, 137.023
452, 136.534
453, 136.519
454, 137.117
455, 136.615
456, 136.543
457, 136.767
458, 136.354
459, 136.837
460, 137.265
461, 136.719
462, 136.364
463, 136.663
464, 136.628
465, 136.872
466, 137.08
467, 137.075
468, 137.164
469, 137.333
470, 136.429
471, 137.234
472, 137.03
473, 137.554
474, 137.388
475, 137.212
476, 137.016
477, 136.947
478, 136.938
479, 137.106
480, 137.307
481, 137.232
482, 137.393
483, 136.913
484, 137.382
485, 136.887
486, 137.332
487, 137.134
488, 137.43
489, 137.376
490, 137.113
491, 136.971
492, 137.323
493, 137.117
494, 137.095
495, 137.233
496, 137.354
497, 136.855
498, 137.469
499, 137.258
500, 137.618
501, 137.484
502, 136.939
503, 137.498
504, 137.436
505, 137.367
506, 137.439
507, 137.831
508, 137.706
509, 137.614
510, 137.378
511, 137.207
512, 137.8
513, 137.315
514, 137.324
515, 137.555
516, 137.765
517, 137.656
518, 137.649
519, 137.663
520, 137.11
521, 137.552
522, 137.341
523, 137.397
524, 137.792
525, 137.957
526, 137.835
527, 137.754
528, 138.129
529, 138.108
530, 138.083
531, 137.544
532, 138.019
533, 138.098
534, 137.693
535, 138.213
536, 138.219
537, 138.223
538, 137.834
539, 138.257
540, 137.723
541, 138.139
542, 137.784
543, 138.52
544, 138.399
545, 138.566
546, 138.044
547, 138.449
548, 138.361
549, 137.935
550, 138.173
551, 138.449
552, 138.552
553, 138.481
554, 138.496
555, 138.601
556, 138.036
557, 138.239
558, 138.137
559, 138.308
560, 138.176
561, 138.131
562, 138.23
563, 138.536
564, 138.06
565, 138.402
566, 138.528
567, 138.51
568, 138.229
569, 138.363
570, 138.753
571, 138.45
572, 138.69
573, 138.85
574, 138.592
575, 138.874
576, 138.841
577, 138.559
578, 138.725
579, 138.68
580, 138.892
581, 138.66
582, 138.26
583, 138.526
584, 138.814
585, 138.407
586, 138.394
587, 138.917
588, 138.912
589, 138.931
590, 138.928
591, 138.732
592, 138.527
593, 138.379
594, 138.877
595, 138.551
596, 138.621
597, 138.961
598, 138.651
599, 138.87
600, 138.431
601, 138.62
602, 138.632
603, 138.752
604, 139.235
605, 139.191
606, 138.938
607, 138.609
608, 138.692
609, 139.096
610, 139.356
611, 139.344
612, 139.091
613, 139.301
614, 138.558
615, 138.947
616, 139.157
617, 139.254
618, 138.875
619, 139.624
620, 139.569
621, 138.737
622, 138.924
623, 139.073
624, 139.186
625, 139.011
626, 139.755
627, 139.363
628, 139.773
629, 139.075
630, 139.548
631, 139.759
632, 139.154
633, 139.438
634, 139.165
635, 139.882
636, 139.502
637, 139.859
638, 139.77
639, 139.649
640, 139.912
641, 139.349
642, 139.655
643, 139.656
644, 139.896
645, 139.536
646, 139.578
647, 139.767
648, 139.831
649, 139.692
650, 140.054
651, 140.267
652, 140.08
653, 139.991
654, 140.262
655, 139.912
656, 140.159
657, 140.158
658, 140.289
659, 140.109
660, 140.196
661, 139.903
662, 139.784
663, 140.033
664, 139.908
665, 139.896
666, 139.906
667, 139.988
668, 139.981
669, 140.161
670, 140.198
671, 140.065
672, 139.92
673, 139.96
674, 140.081
675, 140.452
676, 140.567
677, 140.559
678, 139.931
679, 140.313
680, 140.245
681, 140.142
682, 140.209
683, 140.508
684, 140.263
685, 140.861
686, 140.489
687, 140.146
688, 140.459
689, 140.476
690, 140.696
691, 140.422
692, 140.423
693, 140.717
694, 140.144
695, 140.388
696, 140.319
697, 140.351
698, 140.112
699, 140.447
700, 140.497
701, 140.57
702, 140.368
703, 140.411
704, 140.371
705, 140.502
706, 141.139
707, 140.648
708, 140.935
709, 141.131
710, 140.78
711, 140.74
712, 140.888
713, 140.295
714, 141.021
715, 141.144
716, 140.977
717, 141.053
718, 140.906
719, 141.157
720, 140.885
721, 140.869
722, 140.59
723, 140.893
724, 141.548
725, 140.511
726, 141.077
727, 141.28
728, 140.938
729, 140.774
730, 140.779
731, 140.482
732, 140.969
733, 141.364
734, 141.104
735, 141.372
736, 140.806
737, 140.935
738, 141.3
739, 141.312
740, 140.716
741, 140.918
742, 140.944
743, 140.921
744, 141.198
745, 141.509
746, 141.124
747, 141.45
748, 141.441
749, 141.078
750, 141.249
751, 140.799
752, 140.903
753, 141.018
754, 141.262
755, 141.053
756, 141.358
757, 141.291
758, 141.209
759, 141.602
760, 140.938
761, 141.816
762, 140.904
763, 141.037
764, 141.758
765, 141.834
766, 141.873
767, 141.93
768, 141.839
769, 141.404
770, 141.644
771, 142.187
772, 142.053
773, 141.884
774, 141.497
775, 141.485
776, 141.306
777, 141.431
778, 141.57
779, 141.981
780, 141.744
781, 141.871
782, 141.861
783, 141.99
784, 141.952
785, 141.511
786, 141.936
787, 142.479
788, 141.79
789, 141.944
790, 142.007
791, 142.461
792, 142.01
793, 141.864
794, 141.335
795, 142.085
796, 141.847
797, 141.914
798, 142.232
799, 141.956
800, 142.319
801, 142.031
802, 141.876
803, 142.387
804, 141.847
805, 141.491
806, 142.256
807, 142.483
808, 141.799
809, 142.101
810, 141.915
811, 142.224
812, 141.705
813, 141.832
814, 141.751
815, 142.081
816, 142.612
817, 142.01
818, 142.292
819, 141.872
820, 142.352
821, 142.512
822, 142.025
823, 141.913
824, 142.58
825, 142.232
826, 142.415
827, 141.788
828, 141.804
829, 142.703
830, 142.685
831, 142.449
832, 142.38
833, 142.088
834, 142.218
